ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R,SFR_SD
1,2,2.613e+06,2.613e+05,2.768e+05,2.768e+04,3.364e+05,3.364e+04,3.556e+05,3.556e+04,2.768e+05,2.768e+04,43.52,1.719,36.85,1.743,36.28,1.313,39.2,1.696,36.85,1.743,32.68,31.32,45.07,4.027,1.134e+04,565,26.3,4416
2,2,1.852e+06,1.852e+05,2.078e+05,2.078e+04,2.362e+05,2.362e+04,2.924e+05,2.924e+04,2.078e+05,2.078e+04,54.35,2.509,46,1.249,40.37,2.066,44.65,2.359,46,1.249,28.19,18.13,26.05,7.47,7398,458.1,14.79,nan
3,2,2.078e+06,2.078e+05,1.922e+05,1.922e+04,2.999e+05,2.999e+04,3.364e+05,3.364e+04,1.922e+05,1.922e+04,43.52,1.583,42.94,1.195,33.56,0.9912,38.88,1.565,42.94,1.195,36.79,24.5,41.35,13.02,5578,417.4,36.22,3504
4,2,2.783e+06,2.783e+05,2.774e+05,2.774e+04,3.336e+05,3.336e+04,4.007e+05,4.007e+04,2.774e+05,2.774e+04,51.58,1.986,49.4,1.693,43.32,1.351,43.68,1.129,49.4,1.693,40.74,26.91,47.16,14.53,1.392e+04,661.8,35.81,3387
5,2,9.973e+05,9.973e+04,9.054e+04,9054,9.602e+04,9602,9.885e+04,9886,9.054e+04,9054,40.98,1.827,38.87,1.809,40.06,1.846,39.42,1.758,38.87,1.809,39.85,22.99,41.81,7.148,7210,448,40.54,3092
6,2,7.482e+05,7.482e+04,6.339e+04,6339,9.24e+04,9240,1.012e+05,1.012e+04,6.339e+04,6339,40.36,1.689,37,1.526,36.62,1.943,36.28,2.065,37,1.526,19.18,31.44,30.35,6.536,4347,397.1,27.47,2686
7,2,8.519e+05,8.519e+04,1.031e+05,1.031e+04,8.833e+04,8834,8.656e+04,8656,1.031e+05,1.031e+04,32.58,2.181,30.53,1.306,30.45,2.751,25.71,2.585,30.53,1.306,42.77,18.51,37.68,10.8,8551,554.9,36.32,4508
8,2,1.327e+06,1.327e+05,1.714e+05,1.714e+04,8.426e+04,8427,1.189e+05,1.189e+04,1.714e+05,1.714e+04,41.34,1.89,36.59,1.354,34.51,2.115,39.48,2.099,36.59,1.354,49.43,27.46,53.98,13.16,1.034e+04,585.4,46.22,3888
9,2,2.379e+06,2.379e+05,2.244e+05,2.245e+04,2.507e+05,2.507e+04,2.864e+05,2.864e+04,2.244e+05,2.245e+04,51.39,2.337,49.36,2.138,47.73,1.596,47.25,1.564,49.36,2.138,35.83,51.91,65.13,5.725,1.372e+04,595.6,54.36,4859
10,2,5.198e+05,5.198e+04,6.645e+04,6646,4.202e+04,4203,4.277e+04,4278,6.645e+04,6646,31.02,1.972,28.2,1.527,29.57,2.314,29.28,2.527,28.2,1.527,40.4,26.79,46.77,21.4,1.057e+04,590.5,49.4,2898
11,2,1.199e+06,1.199e+05,9.56e+04,9560,1.465e+05,1.465e+04,1.626e+05,1.626e+04,9.56e+04,9560,50.83,2.366,49.05,2.089,42.41,2.677,54.01,3.728,49.05,2.089,31.76,19.79,31.44,12.06,4729,351.2,32.84,3022
12,2,1.68e+06,1.68e+05,1.682e+05,1.682e+04,1.508e+05,1.508e+04,1.85e+05,1.85e+04,1.682e+05,1.682e+04,49.94,2.872,45.77,3.05,41.73,2.523,45.38,2.505,45.77,3.05,34.15,47.73,60.29,14.02,1.178e+04,544.7,63.48,5202
13,2,8.681e+05,8.681e+04,6.411e+04,6412,1.214e+05,1.214e+04,1.291e+05,1.291e+04,6.411e+04,6412,50.65,2.419,45.85,2.105,48.43,2.333,48.83,2.62,45.85,2.105,25.61,16.12,20.45,3.497,4341,351.2,12.19,3302
14,2,8.429e+05,8.429e+04,1.052e+05,1.052e+04,3.729e+04,3731,6.972e+04,6972,1.052e+05,1.052e+04,65.83,4.995,55.84,3.094,29.68,3.835,68.16,7.62,55.84,3.094,35.42,19.38,33.79,21.31,7657,488.7,19.54,4842
15,2,1.297e+06,1.297e+05,1.785e+05,1.785e+04,7.881e+04,7883,1.377e+05,1.378e+04,1.785e+05,1.785e+04,42.84,2.183,36.58,1.268,42.75,2.717,41.21,2.009,36.58,1.268,44.55,39.27,62.85,19.88,1.392e+04,672,48.3,1347
16,2,6.275e+05,6.275e+04,6.962e+04,6962,3.894e+04,3896,5.235e+04,5236,6.962e+04,6962,43.86,2.578,40.26,1.685,43.48,2.966,44,2.895,40.26,1.685,47.75,26.91,52.19,20.05,7120,442.9,40.59,5604
17,2,4.442e+05,4.442e+04,3.667e+04,3668,3.116e+04,3117,3.238e+04,3239,3.667e+04,3668,39.01,2.665,37.17,2.21,40.77,3.345,40.98,3.513,37.17,2.21,23.85,15.06,16.64,8.093,5105,392,5.5,5076
18,2,5.542e+04,5544,8345,835.2,2811,283.8,3051,307,8345,835.2,10.64,0.5991,9.955,0.4304,10.71,0.7621,10.74,0.7472,9.955,0.4304,27.13,15.69,21.27,14.51,2222,244.3,15.58,3207
19,2,2.679e+05,2.679e+04,2.02e+04,2021,2.819e+04,2820,2.926e+04,2927,2.02e+04,2021,31.35,1.924,30.53,1.765,30.42,1.834,30.36,1.845,30.53,1.765,17.04,27.36,23.67,6.077,3116,336,16.1,5054
20,2,4.665e+04,4667,5646,565.4,3789,380.4,3212,322.6,5646,565.4,10.52,0.5585,10.29,0.4899,10.47,0.5421,10.6,0.5848,10.29,0.4899,12.85,26.91,15.53,21.68,1671,208.7,nan,3417
21,2,3.133e+05,3.133e+04,2.564e+04,2564,1.543e+04,1545,2.559e+04,2559,2.564e+04,2564,41.58,2.538,43.1,3.037,41.34,2.649,40.08,2.357,43.1,3.037,13.56,30.32,20.35,13.22,5306,427.6,21.29,6406
