ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim]
1,2,76.61,7.662,12.26,1.227,2.135,0.2138,0.3904,0.03968,0.1686,0.01756,2.196,0.05224,1.772,0.02332,1.742,0.03023,1.769,0.1648,1.321,0.04772,0.3704,0.3193,0.2904,0.06638,1.613,8.436
2,2,47.16,4.716,11.25,1.125,nan,nan,nan,nan,nan,nan,1.998,0.04963,1.47,0.00949,nan,nan,nan,nan,nan,nan,0.2728,0.4094,0.2587,0.1541,0.7087,3.927
3,2,290.3,29.03,60.1,6.01,10.89,1.089,2.692,0.2698,2.147,0.2153,3.459,0.09854,2.669,0.0469,2.917,0.06896,3.983,0.2815,2.304,0.09293,0.4632,0.9552,0.97,0.286,4.612,12.51
4,2,145,14.5,22.43,2.244,4.64,0.4643,0.8185,0.08243,0.6332,0.06388,2.391,0.07591,2.039,0.03799,1.974,0.03179,1.306,0.04892,1.271,0.05462,0.3283,1.184,0.8941,0.8876,4.358,13.82
5,2,51.3,5.13,6.896,0.6904,nan,nan,nan,nan,nan,nan,1.533,0.05293,1.327,0.03293,nan,nan,nan,nan,nan,nan,0.6205,0.2988,0.5116,0.3014,1.465,5.963
6,2,121.1,12.11,19.63,1.963,3.761,0.3764,0.6381,0.06443,0.754,0.07609,2.136,0.08127,1.878,0.05383,1.822,0.04431,1.641,0.07106,1.88,0.0671,0.646,0.5175,0.8094,0.1762,2.787,7.854
7,2,57.84,5.784,10.1,1.01,2.167,0.217,0.55,0.05559,0.5324,0.05376,2.31,0.06212,1.569,0.01772,1.813,0.03665,2.949,0.3933,1.244,0.0247,0.5513,0.3037,0.4629,0.02662,1.047,4.945
8,2,30.16,3.016,4.049,0.4057,0.9197,0.09232,0.115,0.01218,0.1167,0.01226,2.041,0.08391,1.982,0.0833,2.087,0.09197,1.003,0.06822,1.848,0.1117,0.5605,0.2682,0.4111,0.05584,0.899,4.945
9,2,38.08,3.808,4.809,0.4817,0.9881,0.09919,0.2093,0.02158,0.07988,0.008289,2.293,0.0689,2.167,0.1168,2.117,0.1119,1.615,0.05891,1.113,0.08341,0.345,0.3929,0.3605,0.08105,0.899,4.945
10,2,125.2,12.52,32.53,3.254,2.334,0.2339,0.8871,0.08951,1.081,0.1087,3.472,0.1488,2.448,0.09782,2.278,0.09169,3.538,0.3185,2.019,0.07775,0.583,0.4936,0.7296,0.1188,2.549,8.581
11,2,21.85,2.185,2.353,0.2363,0.4931,0.04977,0.03087,0.003253,nan,nan,1.776,0.05514,1.764,0.0617,1.629,0.0617,1.098,0.04521,nan,nan,0.3848,0.2427,0.1362,0.2026,0.6875,4.218
12,2,79.61,7.961,21.81,2.181,1.732,0.1737,0.6167,0.06238,0.8261,0.08322,2.233,0.09601,1.742,0.04487,1.934,0.06379,1.74,0.1048,1.2,0.04337,0.293,1.077,0.778,0.1559,2.586,10.91
13,2,42.45,4.245,7.614,0.7621,0.48,0.04894,0.1177,0.0122,nan,nan,1.942,0.09773,1.833,0.1227,2.069,0.1522,1.504,0.1599,nan,nan,0.3746,0.459,0.4755,0.135,1.666,7.999
14,2,235.1,23.51,53.95,5.396,9.255,0.9258,3.289,0.3295,4.122,0.4126,5.408,0.2291,4.584,0.1274,4.343,0.1031,4.165,0.125,3.604,0.15,0.4799,0.393,0.5198,0.06225,3.834,10.47
15,2,15.23,1.524,3.152,0.3158,0.2427,0.02497,0.04452,0.005234,0.05538,0.006263,1.526,0.04837,1.419,0.03301,1.259,0.03707,0.5277,0.0748,1.376,0.04828,0.335,0.2209,nan,0.1794,0.6558,3.927
16,2,20.47,2.047,3.369,0.3377,0.5985,0.0603,0.1206,0.01277,0.04527,0.004871,2.148,0.07652,1.861,0.05165,1.92,0.07139,1.617,0.08631,2.107,0.2844,0.2441,0.2971,nan,0.1015,0.7192,4.218
17,2,65.58,6.558,16.27,1.628,1.158,0.1163,0.2171,0.02233,0.3914,0.03991,1.835,0.06408,1.662,0.05288,1.465,0.02267,1.236,0.1056,1.423,0.04177,0.4732,0.6249,0.7437,0.07786,2.221,7.272
18,2,46.47,4.647,10.66,1.066,0.955,0.09601,0.3244,0.03318,0.5078,0.05142,1.807,0.0708,1.557,0.05437,1.455,0.06505,1.051,0.04586,1.09,0.0362,0.541,0.4258,0.6169,0.1945,1.502,6.545
19,2,31.32,3.132,4.98,0.4988,1.119,0.1123,0.2876,0.02965,0.2446,0.02517,3.208,0.144,2.872,0.09875,3.015,0.1535,3.448,0.2485,3.04,0.1999,0.2979,0.2763,nan,0.1891,1.063,5.091
20,2,44.44,4.445,6.865,0.6873,1.323,0.1327,0.3016,0.03091,0.3155,0.03229,3.328,0.1134,2.448,0.08102,2.676,0.07742,3.109,0.2898,1.66,0.05721,0.2527,0.5332,0.3576,0.3498,0.8673,4.654
21,2,28.28,2.829,7.199,0.7204,0.6457,0.06512,0.1221,0.01297,0.184,0.01918,2.25,0.1126,1.861,0.07961,1.948,0.09415,0.4902,0.08641,1.15,0.09041,0.2801,0.5563,0.4284,0.1423,1.132,6.109
22,2,17.07,1.707,2.841,0.2849,0.4154,0.0421,0.0653,0.007049,0.07788,0.008256,1.948,0.08527,1.487,0.06991,1.754,0.07752,1.331,0.06024,1.4,0.05989,0.3626,0.2674,0.1676,0.09737,0.6769,4.072
23,2,8.801,0.8802,1.394,0.1403,0.1994,0.02053,0.04549,0.005227,0.03654,0.004199,1.287,0.05228,1.124,0.02449,1.129,0.02329,0.4681,0.05731,1.033,0.03052,0.2923,0.2107,nan,0.02906,0.4125,2.909
24,2,87.05,8.705,9.544,0.9556,1.265,0.1272,0.1355,0.01375,0.3341,0.03391,3.485,0.1489,3.047,0.1403,2.824,0.09003,4.158,0.6634,3.261,0.2123,0.4133,0.8143,0.8131,0.286,2.137,8.581
25,2,52.77,5.277,7.918,0.7926,1.041,0.1047,0.1605,0.01672,0.3098,0.03169,3.237,0.1491,3.087,0.1683,3.008,0.1236,3.653,0.5524,2.681,0.2268,0.4573,0.3367,0.4227,0.1668,1.481,6.981
26,2,23.45,2.345,3.977,0.3985,0.9127,0.09162,0.13,0.01367,0.1188,0.01262,2.22,0.09696,1.754,0.04686,2.046,0.09369,1.557,0.0988,1.18,0.1046,0.2254,0.7916,0.4932,0.617,1.015,6.836
27,2,23.76,2.376,6.022,0.6027,0.1957,0.02037,0.09798,0.01008,0.09245,0.009798,2.916,0.1326,1.84,0.08445,2.059,0.07027,3.274,0.2705,1.761,0.1762,0.1603,0.4953,nan,0.9387,0.6928,5.091
28,2,6.522,0.6523,1.056,0.1064,nan,nan,nan,nan,nan,nan,1.963,0.08739,1.766,0.0623,nan,nan,nan,nan,nan,nan,0.2789,0.1022,nan,0.1015,0.238,2.473
29,2,14.91,1.492,1.57,0.1583,0.3389,0.03447,0.05361,0.005885,nan,nan,1.592,0.07445,1.605,0.09115,1.386,0.1003,0.5828,0.08347,nan,nan,0.2349,0.4196,0.1797,0.3187,0.8356,5.527
30,2,105.3,10.53,19.17,1.918,0.9083,0.0918,nan,nan,0.4151,0.04203,2.227,0.09502,1.921,0.04839,1.663,0.05029,nan,nan,1.96,0.1416,0.5862,1.063,1.191,0.2503,3.691,12.8
31,2,46.9,4.69,6.217,0.6228,1.044,0.105,0.1346,0.01395,0.239,0.02461,2.877,0.1344,1.977,0.094,2.163,0.08063,2.099,0.1557,1.868,0.0809,0.5524,0.4488,0.6533,0.09845,1.682,7.709
32,2,18.46,1.846,3.73,0.3738,0.02967,0.003715,nan,nan,nan,nan,1.945,0.08463,1.49,0.04841,1.171,0.04328,nan,nan,nan,nan,0.3629,0.2508,0.1112,0.4557,1.037,5.527
33,2,78.73,7.873,5.015,0.5036,1.038,0.1048,0.2403,0.02422,0.3043,0.03077,5.312,0.27,5.853,0.4577,5.212,0.2715,4.492,0.3355,5.726,0.5156,0.5877,0.3659,0.5831,0.296,1.587,6.836
34,2,37.62,3.762,9.314,0.9319,0.4443,0.04535,0.05133,0.005432,0.1299,0.01347,1.295,0.05307,1.235,0.03867,1.058,0.03054,0.3389,0.6833,0.8868,0.02108,0.3484,0.9747,0.8179,0.2136,1.74,7.563
35,2,15.46,1.546,1.667,0.168,0.3538,0.03601,nan,nan,nan,nan,2.255,0.09731,2.253,0.1239,2.075,0.07517,nan,nan,nan,nan,0.2373,0.3759,0.08715,0.4898,0.6399,4.072
36,2,19.65,1.966,2.256,0.2268,0.4552,0.04614,0.1371,0.01443,0.08332,0.009058,2.649,0.1304,2.451,0.09277,2.531,0.1032,2.326,0.09811,1.267,0.03058,0.3339,0.2614,0.04932,0.7823,0.6716,4.072
37,2,23.53,2.353,4.107,0.4114,0.2093,0.02189,nan,nan,nan,nan,1.253,0.04186,1.157,0.02697,1.045,0.03993,nan,nan,nan,nan,0.5784,0.4472,0.6748,0.221,1.317,6.69
38,2,14.09,1.409,3.166,0.3172,0.5113,0.05152,0.09742,0.01047,0.1049,0.01132,1.922,0.08143,1.811,0.08762,1.426,0.0343,0.8652,0.0119,0.9844,0.07382,0.5049,0.2329,0.2873,0.3729,0.6399,4.218
39,2,28.1,2.81,2.714,0.2728,0.5794,0.05859,0.09817,0.01027,0.07167,0.007577,3.478,0.1406,3.881,0.3472,3.853,0.3654,2.246,0.2538,1.871,0.2138,0.2414,0.3649,0.06754,0.4809,0.7827,4.218
40,2,9.737,0.9739,1.153,0.1164,0.05337,0.006012,nan,nan,0.02415,0.002869,0.9529,0.03468,0.8799,0.02086,0.5676,0.06935,nan,nan,-0.2679,371.3,0.433,0.3103,0.3562,0.2435,0.6716,4.509
41,2,47.56,4.756,11.17,1.118,0.3495,0.03572,0.08939,0.009206,0.1347,0.01415,1.977,0.09312,1.641,0.06747,1.72,0.05542,1.327,0.1129,1.397,0.08018,0.4698,0.7004,0.8008,0.1626,1.856,6.69
42,2,28.39,2.839,4.424,0.4433,0.4306,0.04392,0.06911,0.007523,0.08981,0.009278,1.672,0.08064,1.512,0.09209,1.511,0.07362,0.7988,0.03343,1.608,0.1672,0.3174,0.5684,0.4985,0.2551,1.539,7.272
43,2,11.4,1.14,1.704,0.1714,0.3152,0.03206,0.04887,0.0053,nan,nan,1.926,0.08147,1.501,0.02327,1.751,0.07553,1.211,0.03764,nan,nan,0.4581,0.2427,0.2561,0.1357,0.5288,3.782
44,2,20.99,2.099,2.408,0.2421,0.4362,0.04433,0.1281,0.01353,0.1307,0.01366,2.303,0.1082,2.121,0.1194,2.311,0.1203,2.145,0.1302,1.818,0.04918,0.275,0.4725,0.3393,0.2467,0.7457,4.8
45,2,6.459,0.6461,1.185,0.1193,0.23,0.02341,0.03637,0.004324,0.04668,0.005413,1.309,0.05418,1.16,0.0323,1.061,0.03106,0.573,0.05546,1.081,0.02358,0.3006,0.1866,nan,0.147,0.3861,3.491
46,2,33.69,3.37,4.252,0.4263,0.6022,0.06098,0.1262,0.013,0.1541,0.01596,3.081,0.1726,3.058,0.1642,2.801,0.1281,2.81,0.2862,2.059,0.04725,0.5566,0.2966,0.456,0.1224,1.349,7.418
47,2,15.5,1.55,1.335,0.1353,0.28,0.02881,0.0428,0.0046,0.04517,0.00472,2.678,0.1447,2.322,0.1665,2.361,0.1264,2.582,0.1676,2.943,0.2959,0.2327,0.433,0.1949,0.4859,0.6769,4.072
48,2,8.383,0.8385,1.088,0.11,0.2061,0.02123,nan,nan,nan,nan,1.297,0.05205,1.279,0.04991,1.206,0.03563,nan,nan,nan,nan,0.4098,0.1758,nan,0.3339,0.4495,4.072
49,2,29.67,2.967,5.477,0.5485,0.6056,0.06127,nan,nan,0.2133,0.02218,2.351,0.1186,2.115,0.07542,2.015,0.05588,nan,nan,1.861,0.07456,0.5335,0.3292,0.4857,0.1746,1.015,5.818
50,2,10.83,1.083,1.628,0.1639,0.3638,0.03687,0.07576,0.008254,0.05326,0.005902,1.676,0.08214,1.478,0.06021,1.366,0.03471,0.9709,0.01717,1.405,0.05043,0.2322,0.3185,nan,0.2734,0.7615,4.363
51,2,5.149,0.515,0.6166,0.06285,0.1155,0.01219,nan,nan,0.02387,0.002954,1.251,0.04154,1.089,0.02088,1.169,0.03328,nan,nan,0.9095,0.006928,0.2144,0.3023,nan,0.02558,0.3649,2.763
