ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
1,1,7200,720,856.6,85.66,91.09,9.112,19.2,1.933,14.05,1.421,8.045,0.2449,5.695,0.1893,5.905,0.2081,6.33,0.4666,5.14,0.523,12.36,2.232,8.523,5.111,857.9,140.4
2,0,7450,745,861.5,86.16,88.89,8.894,17.95,1.813,13.43,1.365,7.48,0.2415,5.333,0.1832,5.428,0.1955,6.012,0.451,4.86,0.5005,12.32,2.236,8.52,4.856,858.6,117.2
3,1,6992,699.2,853.6,85.37,92.56,9.259,19.86,1.996,14.28,1.441,8.602,0.2495,6.038,0.1977,6.355,0.2475,6.823,0.6961,5.33,0.7002,12.36,2.232,8.523,5.109,848.2,312.7
4,2,0.6099,0.06633,0.07042,0.01722,nan,nan,nan,nan,nan,nan,nan,nan,0.5181,0.3953,nan,nan,nan,nan,nan,nan,0.303,0.8944,0.6985,0.7314,2.279,17.6
5,1,6851,685.1,848.9,84.9,93.76,9.379,20.42,2.05,15.14,1.524,9.258,0.2669,6.358,0.254,6.849,0.54,0.2855,3216,0.4209,8851,12.37,2.236,8.537,5.106,826.4,517.6
6,2,0.5682,0.06167,0.07316,0.01522,nan,nan,nan,nan,nan,nan,1.901,0.1013,1.536,0.514,nan,nan,nan,nan,nan,nan,0.2325,0.1878,nan,0.04559,1.185,7.563
7,1,6808,680.8,846.9,84.69,94.25,9.427,20.45,2.054,15.39,1.549,9.375,0.2495,6.46,0.2354,7.09,0.5552,0.1963,inf,-0.957,0.2613,12.37,2.236,8.537,5.107,812,596.6
8,2,1.169,0.1211,0.2469,0.03176,nan,nan,nan,nan,nan,nan,2.414,0.09058,2.688,0.2537,nan,nan,nan,nan,nan,nan,0.203,0.2463,nan,0.00983,1.19,6.109
9,1,6738,673.8,843,84.31,95.09,9.511,20.84,2.091,16.1,1.619,9.659,0.2405,6.632,0.2729,7.413,0.7064,0.2362,3.205e+05,-1.556,1.176,12.36,2.232,8.523,5.111,788.9,719.7
10,1,6752,675.2,843.8,84.38,94.89,9.491,20.72,2.079,15.89,1.598,9.588,0.2411,6.591,0.2706,7.363,0.6773,0.225,inf,-1.447,1.321,12.36,2.232,8.523,5.111,795.5,715.4
11,1,6586,658.6,828.8,82.88,95.86,9.588,21.04,2.111,16.52,1.66,9.878,0.2389,6.677,0.2834,7.675,0.6671,0.1587,4.216e+05,-0.1462,3.926e+06,12.37,2.236,8.537,5.109,723.4,730.6
12,1,6212,621.2,785.9,78.6,96.74,9.676,21.8,2.186,17.01,1.708,9.729,0.1999,6.743,0.2053,9.871,0.9161,0.5844,0.07254,5.904,1.462,8.49,2.409,7.336,4.204,631,651
13,1,6609,660.9,830.1,83.02,95.53,9.556,20.86,2.092,16.43,1.651,9.789,0.2369,6.631,0.2848,0.3103,28.49,0.1176,4.228e+05,-0.2606,2.105e+04,12.37,2.236,8.537,5.109,737.9,756.7
