ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
1,2,0.5016,0.05461,0.07106,0.01905,nan,nan,nan,nan,nan,nan,1.369,0.03077,2.021,0.3088,nan,nan,nan,nan,nan,nan,0.2244,0.1864,nan,0.03608,0.8462,6.545
2,2,1.158,0.1198,0.2426,0.0357,nan,nan,nan,nan,nan,nan,2.408,0.09004,2.689,0.2543,nan,nan,nan,nan,nan,nan,0.203,0.2462,nan,0.009399,1.169,6.109
3,1,6738,673.8,843,84.31,95.09,9.514,20.84,2.104,16.1,1.634,9.659,0.2405,6.632,0.2729,7.413,0.7064,0.2362,3.205e+05,-1.556,1.176,12.36,2.232,8.523,5.111,788.9,719.7
4,1,6752,675.2,843.8,84.39,94.89,9.494,20.72,2.092,15.89,1.614,9.588,0.2411,6.591,0.2706,7.363,0.6773,0.225,inf,-1.447,1.321,12.36,2.232,8.523,5.111,795.5,715.4
5,1,6586,658.6,828.8,82.89,95.86,9.591,21.04,2.122,16.52,1.673,9.878,0.2389,6.677,0.2834,7.675,0.6671,0.1587,4.216e+05,-0.1462,3.926e+06,12.37,2.236,8.537,5.109,723.4,730.6
6,1,6212,621.2,785.9,78.6,96.74,9.678,21.8,2.195,17.01,1.719,9.729,0.1999,6.743,0.2053,9.871,0.9161,0.5844,0.07254,5.904,1.462,8.49,2.409,7.336,4.204,631,651
7,1,6609,660.9,830.1,83.02,95.53,9.558,20.86,2.104,16.43,1.665,9.789,0.2369,6.631,0.2848,0.3103,28.49,0.1176,4.228e+05,-0.2606,2.105e+04,12.37,2.236,8.537,5.109,737.9,756.7
8,0,6772,677.2,845,84.5,94.81,9.486,20.61,2.082,15.7,1.596,9.507,0.2382,6.555,0.2725,7.285,0.6551,0.2279,nan,0.1316,-0,12.36,2.232,8.523,5.111,800.3,669
9,1,6703,670.3,841,84.11,95.59,9.563,21.04,2.123,16.29,1.652,9.803,0.2402,6.714,0.2895,0.3129,15.3,0.2065,9.731e+05,-0.2085,9.637e+06,12.36,2.232,8.523,5.112,775.7,780.7
10,1,6559,655.9,827.2,82.73,96.46,9.65,21.33,2.15,16.81,1.701,9.94,0.2265,6.74,0.2593,2.097,1.448,0.7326,0.2008,0.1186,inf,12.37,2.236,8.537,5.109,710.5,737.1
11,1,6322,632.2,795.1,79.52,97.21,9.726,21.67,2.182,17.2,1.739,10.15,0.25,6.83,0.2518,2.089,1.414,0.5932,0.09707,0.2761,6.335,8.49,2.409,7.336,4.204,664.1,669.5
12,1,6332,633.2,795.9,79.59,96.98,9.702,21.57,2.173,17.04,1.724,10.11,0.248,6.804,0.252,1.732,1.086,0.595,0.08433,0.1256,inf,8.49,2.402,7.325,4.14,668.5,668.5
13,1,6563,656.3,827.4,82.75,96.37,9.641,21.27,2.144,16.76,1.696,9.934,0.2248,6.733,0.2399,2.082,1.431,0.7172,0.2116,0.09257,inf,12.37,2.236,8.537,5.11,712.5,735.5
14,1,6686,668.6,840.1,84.02,95.79,9.584,21.1,2.129,16.41,1.663,9.865,0.2391,6.754,0.2947,0.3231,14.24,0.1952,inf,0.0943,inf,12.36,2.232,8.523,5.113,767.3,801.8
15,1,6305,630.5,794,79.41,97.51,9.755,21.78,2.193,17.28,1.746,9.965,0.1941,6.825,0.2092,9.451,0.8578,0.5789,0.07004,6.824,1.621,8.49,2.409,7.336,4.204,659.6,682.7
