ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
1,1,4562,456.2,814.6,81.46,92.77,9.277,20.77,2.078,20.65,2.066,7.423,0.1483,10.9,0.596,6.194,0.2115,6.221,0.7402,-0.2553,2189,8.507,2.375,7.291,4.205,429.2,1403
2,1,4725,472.5,854.1,85.42,93.9,9.391,21.26,2.126,20.77,2.077,7.741,0.1784,11.28,0.586,6.18,0.1901,6.336,0.6115,0.4923,0.2543,8.507,2.375,7.291,4.205,458.3,1549
3,0,4755,475.5,863.2,86.32,93.89,9.39,21.25,2.125,20.75,2.075,7.685,0.1735,11.35,0.5923,6.137,0.1884,6.297,0.5994,0.4813,0.2747,8.507,2.375,7.291,4.205,469.4,1593
4,1,4483,448.3,766.3,76.63,93.14,9.315,21.21,2.121,21.08,2.109,7.923,0.1562,9.907,0.4463,6.587,0.3953,0.2511,1.783e+05,0.2518,nan,8.506,2.375,7.29,4.202,369,1157
5,1,4407,440.7,733.3,73.33,93.39,9.339,21.51,2.151,21.07,2.108,8.521,0.1779,9.515,0.3562,7.214,0.3452,7.7,0.8481,6.785,1.251,8.513,2.371,7.287,4.159,329.4,1051
6,1,4366,436.6,720.6,72.06,93.24,9.325,21.58,2.158,21.13,2.114,8.548,0.2062,9.359,0.3347,7.36,0.2877,8.277,0.5939,7.281,1.088,8.491,2.368,7.274,4.101,310.2,982.5
7,1,3862,386.2,600.8,60.08,88.17,8.818,20.1,2.011,19.81,1.982,8.772,0.2428,8.718,0.2507,7.168,0.3013,8.163,0.851,0.375,6.022,5.475,2.536,6.038,2.154,212.6,573
8,1,3789,378.9,586.2,58.62,87.53,8.754,20.04,2.005,19.7,1.97,8.827,0.2506,8.505,0.2484,7.117,0.3103,8.406,0.8173,0.4574,1.186,5.495,2.551,6.067,2.191,192.8,500.3
9,1,3877,387.7,603.6,60.36,88.46,8.846,20.15,2.015,19.85,1.985,8.774,0.2438,8.725,0.2509,7.214,0.3062,8.11,0.8486,0.3784,5.691,5.475,2.536,6.038,2.153,215.3,580.2
10,1,3738,373.8,578.7,57.87,86.82,8.682,19.9,1.99,19.66,1.967,8.829,0.2593,8.44,0.2421,7.03,0.2976,8.782,0.8428,6.97,0.5412,5.495,2.551,6.067,2.19,181.5,458.9
11,1,4275,427.5,695,69.5,92.97,9.298,21.59,2.16,21.27,2.128,8.746,0.2229,8.758,0.255,7.776,0.3278,8.373,0.6461,0.5434,0.4459,8.512,2.374,7.292,4.105,268.1,819
