ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R,CM_SNR
1,2,1.116e+07,1.116e+06,1.66e+06,1.661e+05,4.825e+05,4.83e+04,6.197e+05,6.201e+04,1.66e+06,1.661e+05,12.37,0.3221,11.6,0.2332,12.02,0.2827,12.02,0.2873,11.6,0.2332,123.5,38.95,101.2,43.21,1.819e+05,3740,55.91,5.732
2,2,3.082e+06,3.085e+05,4.712e+05,4.716e+04,1.137e+05,1.143e+04,1.241e+05,1.246e+04,4.712e+05,4.716e+04,9.698,0.1817,9.299,0.1552,9.355,0.1755,9.592,0.202,9.299,0.1552,61.14,46.63,71.18,15.66,5.022e+04,1264,nan,5.073
3,2,4.262e+06,4.265e+05,6.881e+05,6.885e+04,1.73e+05,1.736e+04,2.057e+05,2.062e+04,6.881e+05,6.885e+04,11.91,0.3112,11.31,0.2106,12.25,0.3335,12.53,0.3707,11.31,0.2106,46.72,81.47,87.13,39.93,5.321e+04,1212,51.51,7.232
4,2,1.064e+07,1.065e+06,1.541e+06,1.541e+05,5.027e+05,5.031e+04,5.239e+05,5.243e+04,1.541e+06,1.541e+05,16.21,0.4524,14.69,0.2915,14.87,0.2965,15.86,0.4059,14.69,0.2915,54.94,107.7,114.7,50.61,1.142e+05,1908,94.74,6.135
5,2,5.391e+06,5.395e+05,8.441e+05,8.445e+04,1.534e+05,1.542e+04,1.596e+05,1.604e+04,8.441e+05,8.445e+04,11.55,0.3062,10.65,0.2087,11.03,0.2515,11.07,0.2563,10.65,0.2087,35.1,178.5,118.7,90.76,9.661e+04,2450,78.82,2.067
6,2,1.078e+07,1.078e+06,1.944e+06,1.945e+05,4.14e+05,4.147e+04,5.343e+05,5.349e+04,1.944e+06,1.945e+05,15.16,0.4052,14.67,0.3462,14.55,0.3603,14.44,0.3372,14.67,0.3462,360.3,129.2,347.3,93.58,3.77e+05,7092,320.4,2.442
7,2,2.623e+06,2.626e+05,3.757e+05,3.761e+04,1.087e+05,1.092e+04,1.315e+05,1.319e+04,3.757e+05,3.761e+04,8.834,0.2278,8.275,0.1659,8.582,0.2022,8.796,0.231,8.275,0.1659,109.8,34.67,87.12,66.81,4.423e+04,1238,57.21,7.442
8,2,9.279e+06,9.282e+05,1.327e+06,1.327e+05,2.813e+05,2.82e+04,3.51e+05,3.515e+04,1.327e+06,1.327e+05,22.11,0.6907,21.25,0.5577,22.8,0.8447,22.68,0.7959,21.25,0.5577,90.82,206.3,216.9,129,1.36e+05,2373,125.2,4.755
9,2,4.517e+06,4.52e+05,6.783e+05,6.787e+04,1.419e+05,1.426e+04,1.57e+05,1.576e+04,6.783e+05,6.787e+04,10.73,0.3131,9.86,0.1915,9.784,0.2799,9.346,0.3266,9.86,0.1915,41.15,96.19,89.41,16.34,8.015e+04,1908,nan,6.797
10,2,2.151e+06,2.155e+05,4.147e+05,4.151e+04,7.373e+04,7447,6.597e+04,6685,4.147e+05,4.151e+04,5.336,0.138,4.963,0.09399,5.097,0.1081,5.157,0.1261,4.963,0.09399,49.95,172.8,142.6,97.39,7.267e+04,1547,116.5,1.578
