nsig,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim
40,3951,395.1,217.5,21.75,8.074,0.8076,nan,nan,0.1139,0.01151,6.574,0.2227,14.45,0.9994,21.71,1.727,nan,nan,49.64,4.902,12.47,2.237,8.57,4.744,141.8,468.6
39,3985,398.5,223.6,22.36,8.587,0.8589,nan,nan,0.1675,0.01688,6.574,0.2227,14.45,0.9994,21.71,1.727,nan,nan,49.64,4.902,12.46,2.243,8.579,4.88,143.8,469.3
38,4021,402.1,230,23,9.064,0.9065,nan,nan,0.1898,0.01911,6.574,0.2227,14.45,0.9994,21.71,1.727,nan,nan,49.64,4.902,12.47,2.243,8.583,4.929,145.9,473.1
37,4056,405.6,236.4,23.64,9.512,0.9513,nan,nan,0.2408,0.02421,6.574,0.2227,14.45,0.9994,21.71,1.727,nan,nan,49.64,4.902,12.47,2.243,8.582,4.92,148.2,477.2
36,4089,408.9,242.8,24.28,10.07,1.007,0.02901,0.003043,0.2833,0.02846,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.51,2.227,8.568,4.978,150.2,480
35,4125,412.5,249.5,24.96,10.6,1.06,0.02901,0.003043,0.369,0.03704,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.49,2.223,8.553,4.987,152.4,482.9
34,4161,416.1,256.3,25.63,11.2,1.12,0.03238,0.003381,0.4793,0.04807,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.49,2.223,8.552,4.976,154.8,488
33,4196,419.6,263.4,26.34,11.77,1.177,0.05526,0.005676,0.5733,0.05747,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.43,2.231,8.548,5.117,157.2,493.3
32,4232,423.2,270.3,27.03,12.34,1.234,0.07116,0.00727,0.6489,0.06504,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.43,2.231,8.548,5.108,159.8,496
31,4270,427,277.9,27.79,13.02,1.302,0.08947,0.009104,0.7587,0.07603,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.44,2.241,8.57,4.846,162.4,502.4
30,4307,430.7,285.3,28.53,13.69,1.369,0.1072,0.01088,0.8385,0.084,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.52,2.252,8.618,4.948,165.2,509.9
29,4344,434.4,292.8,29.28,14.37,1.437,0.1301,0.01318,0.9502,0.09517,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.52,2.252,8.618,4.945,168.3,515.5
28,4382,438.2,300.9,30.09,15.14,1.514,0.1798,0.01815,1.063,0.1065,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.52,2.253,8.618,4.939,171.2,520.1
27,4422,442.2,309.7,30.97,15.95,1.596,0.2413,0.02431,1.175,0.1177,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.52,2.253,8.619,4.925,174.6,524.9
26,4462,446.2,318.5,31.85,16.81,1.681,0.3549,0.03568,1.319,0.1321,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.51,2.254,8.62,4.902,178.2,528.8
25,4504,450.4,327.5,32.75,17.71,1.771,0.4344,0.04363,1.458,0.1459,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.52,2.266,8.644,5.081,181.8,533.2
24,4546,454.6,336.8,33.68,18.65,1.865,0.5437,0.05457,1.624,0.1626,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.5,2.262,8.631,5.067,185.4,539.6
23,4588,458.8,346.2,34.62,19.85,1.985,0.6762,0.06782,1.763,0.1765,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.5,2.262,8.631,5.068,189.4,545.3
22,4631,463.1,356.4,35.64,21.1,2.11,0.8076,0.08097,1.969,0.1971,6.574,0.2227,14.45,0.9994,21.71,1.727,52.73,4.565,49.64,4.902,12.5,2.263,8.632,5.065,193.2,550.2
