ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R
1,2,1.382e+05,1.427e+04,1.382e+05,1.427e+04,1.607e+05,1.63e+04,1.414e+05,1.441e+04,1.382e+05,1.427e+04,29.11,0.9385,29.11,0.9385,15.95,0.6245,14.36,0.6171,29.11,0.9385,7.818,11.48,13.17,1.803,1708,220.9,9.87
2,2,1.201e+05,1.255e+04,1.201e+05,1.255e+04,1.144e+05,1.179e+04,9.196e+04,9634,1.201e+05,1.255e+04,16.54,0.6319,16.54,0.6319,13.6,0.6407,14.19,0.7527,16.54,0.6319,9.838,7.263,11.18,2.377,3291,520.2,30.25
3,2,1.078e+04,1456,1.078e+04,1456,2.356e+04,2478,1.664e+04,1836,1.078e+04,1456,8.848,0.2601,8.848,0.2601,9.311,0.3357,9.26,0.352,8.848,0.2601,4.962,5.572,3.034,0.6,253.3,75.56,4.013
4,2,2.948e+04,3415,2.948e+04,3415,3.908e+04,4137,2.966e+04,3266,2.948e+04,3415,17.12,0.6261,17.12,0.6261,17.12,0.9028,18.96,1.241,17.12,0.6261,7.758,5.452,6.922,3.268,574.2,127.9,8.047
5,2,2.015e+05,2.064e+04,2.015e+05,2.064e+04,1.183e+05,1.235e+04,1.083e+05,1.14e+04,2.015e+05,2.064e+04,26.27,0.9015,26.27,0.9015,20.01,1.261,18.37,1.296,26.27,0.9015,16.93,23.53,31.45,6.662,3179,351.6,20.88
6,2,4.324e+05,4.38e+04,4.324e+05,4.38e+04,2.68e+05,2.734e+04,2.083e+05,2.152e+04,4.324e+05,4.38e+04,26.09,1.209,26.09,1.209,30.68,2.796,29.84,2.639,26.09,1.209,43.01,19.22,46.05,23.53,9513,883.4,19.94
7,2,2.948e+04,3472,2.948e+04,3472,1.116e+04,1710,1.469e+04,2012,2.948e+04,3472,20.43,0.8667,20.43,0.8667,7.149,0.6719,20.95,1.675,20.43,0.8667,11.08,4.811,8.776,6.02,793.8,200.5,19.53
8,2,8879,1325,8879,1325,8259,1098,4964,856.9,8879,1325,11.59,0.431,11.59,0.431,6.417,0.3211,5.541,0.2967,11.59,0.431,6.227,5.045,4.376,1.3,244.9,84.27,4.108
9,2,9.464e+04,1.003e+04,9.464e+04,1.003e+04,7.392e+04,7841,5.609e+04,6197,9.464e+04,1.003e+04,16.8,0.69,16.8,0.69,14.89,0.8542,14.31,0.8395,16.8,0.69,52.03,8.602,33.45,15.96,2979,496.9,20.55
10,2,5.387e+04,5951,5.387e+04,5951,2.841e+04,3466,3.499e+04,4033,5.387e+04,5951,13.1,0.5129,13.1,0.5129,13.36,0.8056,13.37,0.7885,13.1,0.5129,10.13,16.63,19.52,3.588,2137,421.4,11.88
11,2,4.269e+04,4831,4.269e+04,4831,3.603e+04,4018,3.073e+04,3558,4.269e+04,4831,22.08,0.9996,22.08,0.9996,11.95,0.6946,13.81,0.8604,22.08,0.9996,14.9,10.12,18.29,5.472,1442,264.4,6.652
