ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R
1,2,2.989e+04,3075,2.989e+04,3075,3.192e+04,3235,2.978e+04,3026,2.989e+04,3075,32.61,0.9283,32.61,0.9283,17.17,0.609,15.78,0.632,32.61,0.9283,3.308,4.739,5.637,1.491,581.1,262.2,4.541
2,2,3.194e+04,3296,3.194e+04,3296,3.441e+04,3500,3.002e+04,3070,3.194e+04,3296,18.27,0.6112,18.27,0.6112,17.2,0.7887,17.9,0.9127,18.27,0.6112,6.073,9.246,11.78,5.018,892.7,295,17.33
3,2,2808,363.5,2808,363.5,6453,670.1,4829,516,2808,363.5,15.11,0.5886,15.11,0.5886,11.84,0.386,11.8,0.4685,15.11,0.5886,2.526,2.198,2.239,0.4636,90.68,58.77,2.554
4,2,8634,961.5,8634,961.5,9877,1036,7695,830.8,8634,961.5,19.85,0.7033,19.85,0.7033,15.99,0.8839,16.53,1.241,19.85,0.7033,3.395,2.535,3.617,1.128,260.5,119.8,4.65
5,2,4.663e+04,4758,4.663e+04,4758,3.137e+04,3222,3.052e+04,3141,4.663e+04,4758,31.48,0.9542,31.48,0.9542,18.97,1.177,15.76,1.04,31.48,0.9542,6.855,9.74,12.91,3.794,839.7,259.9,8.307
6,2,1.215e+04,1310,1.215e+04,1310,1.403e+04,1455,1.099e+04,1166,1.215e+04,1310,22.61,0.6363,22.61,0.6363,25.65,1.216,27.59,1.675,22.61,0.6363,3.202,5.52,6.087,1.458,327.9,161.6,4.926
7,2,2.399e+04,2497,2.399e+04,2497,1.53e+04,1623,1.176e+04,1296,2.399e+04,2497,23.26,0.7692,23.26,0.7692,17.24,1.034,13.49,1.024,23.26,0.7692,7.826,5.052,9.737,2.994,522.3,165,5.375
8,2,9507,1056,9507,1056,5923,679.7,7216,803.2,9507,1056,26.03,1.05,26.03,1.05,18.13,1.635,22.94,1.36,26.03,1.05,4.909,2.813,5.181,2.387,263.1,127.7,12.05
9,2,9.439e+04,9549,9.439e+04,9549,4.856e+04,4972,4.326e+04,4458,9.439e+04,9549,32.4,1.192,32.4,1.192,34.35,2.103,37.47,2.513,32.4,1.192,19.78,9.871,22.5,11.48,2663,718.7,11.11
10,2,3034,399.2,3034,399.2,2704,328.6,1771,253.7,3034,399.2,19.35,0.7155,19.35,0.7155,8.737,0.4252,7.368,0.3819,19.35,0.7155,3.263,2.475,3.418,0.6152,88.76,54.24,2.563
